subject (label),predicate,object,gold_standard
Renato Tosio,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/0gmcmy,"""correct"""
Moveable feast,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/0550j,"""correct"""
Garuda Indonesia Flight 421,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/04lgyr7,"""correct"""
Gundlach Bundschu,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/03d5tkx,"""correct"""
Fuentespalda,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/02z9qxc,"""correct"""
Mount Athos,http://xmlns.com/foaf/0.1/depiction,http://upload.wikimedia.org/wikipedia/commons/1/12/Mount_Athos_map_red.png,"""correct"""
Sondra Theodore,http://dbpedia.org/property/wordnet_type,http://www.w3.org/2006/03/wn/wn20/instances/synset-model-noun-3,"""correct"""
Frank Stanford,http://dbpedia.org/ontology/wikiPageExternalLink,http://lostroadspublishers.org/,"""incorrect"""
George Ferrers,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/0gz2_c,"""correct"""
Ludwig zu Sayn-Wittgenstein-Berleburg,http://dbpedia.org/ontology/thumbnail,http://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Franz_Xaver_Winterhalter_Leonilla_Princess_of_Sayn_Wittgenstein_Sayn.jpg/200px-Franz_Xaver_Winterhalter_Leonilla_Princess_of_Sayn_Wittgenstein_Sayn.jpg,"""correct"""
Trustor affair,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/09k5syp,"""correct"""
Krisztián Németh,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/02q8lq6,"""correct"""
Newmarket Town F.C.,http://dbpedia.org/ontology/thumbnail,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/NewmarketTown.jpg/200px-NewmarketTown.jpg,"""correct"""
Botany Bay,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/07hyq_,"""correct"""
John Comaroff,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/05zlt1r,"""correct"""
Bures St. Mary,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/095gby,"""correct"""
Alcamenes,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/0r4g,"""correct"""
Pulaski Day Parade,http://dbpedia.org/property/wikiPageUsesTemplate,http://dbpedia.org/resource/Template%3AInfobox_Holiday,"""incorrect"""
U.S. Route 78 in Alabama,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/0c8g1m,"""correct"""
Life. Be in it.,http://dbpedia.org/ontology/wikiPageExternalLink,http://www.lifebeinit.org/%3Furi%3Dhistory/index,"""incorrect"""
Japanese government-issued Philippine Peso,http://xmlns.com/foaf/0.1/depiction,http://upload.wikimedia.org/wikipedia/commons/4/4d/Philippines_Flag_Original.svg,"""correct"""
MTV Base,http://dbpedia.org/ontology/wikiPageExternalLink,http://www.itizaps.net/zapper-mtv-base-uk.php,"""correct"""
Man Therapy,http://dbpedia.org/ontology/thumbnail,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/ManTherapyPSAsmall.png/200px-ManTherapyPSAsmall.png,"""correct"""
Japanese government-issued Philippine Peso,http://dbpedia.org/ontology/thumbnail,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Philippines_Flag_Original.svg/200px-Philippines_Flag_Original.svg.png,"""correct"""
Walter Flowers,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/02qhdcb,"""correct"""
Tim Flood (hurler),http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/04g0m2r,"""correct"""
Daughter,http://dbpedia.org/ontology/thumbnail,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Doddy4GenerationsAug1931A.jpg/200px-Doddy4GenerationsAug1931A.jpg,"""correct"""
Teo Chee Hean,http://xmlns.com/foaf/0.1/depiction,http://upload.wikimedia.org/wikipedia/commons/3/38/Teo_Chee_Hean.jpg,"""correct"""
Eric Weiss,http://dbpedia.org/ontology/wikiPageExternalLink,http://www.allalias.com/guide/index.php/Weiss%2527s_Detailed_Mission_Information,"""incorrect"""
Fuentespalda,http://xmlns.com/foaf/0.1/depiction,http://upload.wikimedia.org/wikipedia/commons/c/cd/Escut_de_Fontdespatla.svg,"""correct"""
Alcamenes,http://dbpedia.org/ontology/wikiPageExternalLink,http://cartelen.louvre.fr/cartelen/visite%3Fsrv%3Dcar_not_frame%26idNotice%3D20221,"""incorrect"""
"Indian Shores, Florida",http://dbpedia.org/ontology/thumbnail,http://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Map_of_Florida_highlighting_Indian_Shores.svg/200px-Map_of_Florida_highlighting_Indian_Shores.svg.png,"""correct"""
Montlevon,http://dbpedia.org/ontology/thumbnail,http://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Montlevon_eglise.jpg/200px-Montlevon_eglise.jpg,"""correct"""
Yamaha Virago,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/03zc0n,"""correct"""
Sentinelese people,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/04tlr6,"""correct"""
"Spencer, Ohio",http://dbpedia.org/ontology/thumbnail,http://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/OHMap-doton-Spencer.png/200px-OHMap-doton-Spencer.png,"""correct"""
Jonathan Baillie,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/02pykmf,"""correct"""
Laert Vasili,http://dbpedia.org/ontology/wikiPageExternalLink,http://www.retrodb.gr/wiki/index.php/%3F%3F%3F%3F_%3F%3F%3F%3F_%3F%3F%3F_%3F%3F%3F%3F%3F%3F%3F,"""incorrect"""
Trophic state index,http://xmlns.com/foaf/0.1/depiction,http://upload.wikimedia.org/wikipedia/commons/e/e1/Lake_George_from_village_beach.jpg,"""correct"""
Laert Vasili,http://dbpedia.org/ontology/wikiPageExternalLink,http://www.retrodb.gr/wiki/index.php/%3F_%3F%3F%3F%3F%3F_%3F%3F%3F_%3F%3F%3F%3F%3F%3F%3F%3F%3F_%282005%29,"""incorrect"""
I Lost It,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/05b4wt3,"""correct"""
Ohio State Route 124,http://xmlns.com/foaf/0.1/depiction,http://upload.wikimedia.org/wikipedia/commons/b/bb/OH-134.svg,"""incorrect"""
Purtscher retinopathy,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/07kjn28,"""correct"""
Trophic state index,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/03nws6n,"""correct"""
Articles for deletion/Jose Vides,http://dbpedia.org/ontology/wikiPageExternalLink,http://toolserver.org/%7Esnottywong/cgi-bin/votecounter.cgi%3Fpage%3DWikipedia%3AArticles_for_deletion/Jose_Vides,"""incorrect"""
Killers from Space,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/02700s3,"""correct"""
"Spencer, Ohio",http://dbpedia.org/ontology/wikiPageExternalLink,http://www.medina-ohio.net/,"""incorrect"""
Arriva London,http://xmlns.com/foaf/0.1/depiction,http://upload.wikimedia.org/wikipedia/commons/3/3f/London_Bus_route_59_01.jpg,"""correct"""
Bart Palaszewski,http://xmlns.com/foaf/0.1/depiction,http://upload.wikimedia.org/wikipedia/commons/7/79/WEC_53_BARTIMUS.jpg,"""correct"""
Laert Vasili,http://dbpedia.org/ontology/wikiPageExternalLink,http://www.retrodb.gr/wiki/index.php/%3F%3F%3F_%3F%3F%3F_%3F%3F%3F%3F,"""incorrect"""
Symmetry in biology,http://xmlns.com/foaf/0.1/depiction,http://upload.wikimedia.org/wikipedia/commons/a/af/20_petit_paon_de_nuit.jpg,"""correct"""
Balance spring,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/0803v_,"""correct"""
Mahoning Creek (Allegheny River),http://xmlns.com/foaf/0.1/depiction,http://upload.wikimedia.org/wikipedia/commons/a/aa/USACE_Mahoning_Creek_Lake_and_Dam.jpg,"""correct"""
Nelly Greisen,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/02pm89q,"""correct"""
Botany Bay,http://xmlns.com/foaf/0.1/depiction,http://upload.wikimedia.org/wikipedia/commons/c/c6/Sydney_SPOT_1210.jpg,"""correct"""
Billy Keikeya,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/0bkp9_,"""correct"""
Interlaced video,http://xmlns.com/foaf/0.1/depiction,http://upload.wikimedia.org/wikipedia/commons/5/56/Deinterlaced_vs_interlaced_image.gif,"""correct"""
Puppy (film),http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/04gly92,"""correct"""
Charles Boissevain,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/09v2f3f,"""correct"""
MTV Base,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/02wdv8,"""correct"""
Sengge Rinchen,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/02w1z_2,"""correct"""
RMS Caronia,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/02x56p,"""correct"""
Trip Lee,http://dbpedia.org/ontology/thumbnail,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/TripLee.jpg/200px-TripLee.jpg,"""correct"""
Northamptonshire Regiment,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/02q98zj,"""correct"""
(6046) 1991 RF14,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/0by01ry,"""correct"""
Les Incompétents,http://dbpedia.org/ontology/wikiPageExternalLink,http://www.lesincompetents.co.uk/,"""incorrect"""
Daughter,http://xmlns.com/foaf/0.1/depiction,http://upload.wikimedia.org/wikipedia/commons/5/5a/Doddy4GenerationsAug1931A.jpg,"""correct"""
A++,http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/resource/Ramy_Haddad,"""correct"""
Elatostema rugosum,http://dbpedia.org/ontology/thumbnail,http://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Elatostema_rugosum_11.JPG/200px-Elatostema_rugosum_11.JPG,"""correct"""
Sentinelese people,http://xmlns.com/foaf/0.1/depiction,http://upload.wikimedia.org/wikipedia/commons/c/c2/Andamanese_comparative_distribution.png,"""correct"""
Sondra Theodore,http://dbpedia.org/property/wikiPageUsesTemplate,http://dbpedia.org/resource/Template%3APersondata,"""incorrect"""
List of Running Man episodes,http://dbpedia.org/ontology/wikiPageExternalLink,http://tv.sbs.co.kr/newsunday,"""correct"""
Hadersdorf-Kammern,http://xmlns.com/foaf/0.1/depiction,http://upload.wikimedia.org/wikipedia/commons/2/2e/AUT_Hadersdorf-Kammern_COA.jpg,"""correct"""
Laert Vasili,http://dbpedia.org/ontology/wikiPageExternalLink,http://www.retrodb.gr/wiki/index.php/%3F_%3F%3F%3F%3F%3F_%3F%3F%3F_%3F%3F%3F,"""incorrect"""
Information graphics,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/03xc_j,"""correct"""
Matthew Crosby,http://dbpedia.org/ontology/thumbnail,http://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Matthew_diner.jpg/200px-Matthew_diner.jpg,"""correct"""
Karl Ludwig Hencke,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/02sbyh,"""correct"""
Frank Stanford,http://dbpedia.org/ontology/wikiPageExternalLink,http://nw-ar.com/drakefield/,"""correct"""
Arriva London,http://dbpedia.org/ontology/thumbnail,http://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/London_Bus_route_59_01.jpg/200px-London_Bus_route_59_01.jpg,"""correct"""
Durango class patrol vessel,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/02wbt4g,"""correct"""
Balabusta,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/03d6zc9,"""correct"""
Information graphics,http://xmlns.com/foaf/0.1/depiction,http://upload.wikimedia.org/wikipedia/commons/9/9c/Wash-dc-metro-map.png,"""correct"""
A21 road (England),http://dbpedia.org/ontology/wikiPageExternalLink,http://www.cbrd.co.uk/badjunctions/21-25-26.shtml,"""correct"""
