subject_label,predicat_label,object,first_answer,majority_voting
2010‰ÛÒ11 Greek Cup,Date,2,"""idk""","""incorrect"""
2010‰ÛÒ11 Greek Cup,Date,3,"""incorrect""","""incorrect"""
2010‰ÛÒ11 Greek Cup,Date,4,"""incorrect""","""incorrect"""
2010‰ÛÒ11 Greek Cup,Date,5,"""incorrect""","""incorrect"""
2010‰ÛÒ11 Greek Cup,Date,12,"""incorrect""","""incorrect"""
2010‰ÛÒ11 Greek Cup,Date,15,"""no sense""","""incorrect"""
2010‰ÛÒ11 Greek Cup,Date,16,"""incorrect""","""incorrect"""
2010‰ÛÒ11 Greek Cup,Date,18,"""no sense""","""idk"""
2010‰ÛÒ11 Greek Cup,Date,19,"""incorrect""","""incorrect"""
2010‰ÛÒ11 Greek Cup,Date,20,"""incorrect""","""incorrect"""
2010‰ÛÒ11 Greek Cup,Date,21,"""incorrect""","""incorrect"""
2010‰ÛÒ11 Greek Cup,Date,22,"""incorrect""","""incorrect"""
2010‰ÛÒ11 Greek Cup,Date,23,"""incorrect""","""incorrect"""
2010‰ÛÒ11 Greek Cup,Date,26,"""incorrect""","""incorrect"""
2010‰ÛÒ11 Greek Cup,Date,27,"""incorrect""","""incorrect"""
2010‰ÛÒ11 Greek Cup,Date,28,"""incorrect""","""incorrect"""
2010‰ÛÒ11 Greek Cup,Date,29,"""incorrect""","""incorrect"""
2010‰ÛÒ11 Greek Cup,Date,30,"""incorrect""","""incorrect"""
356th Airlift Squadron,command structure,4,"""incorrect""","""incorrect"""
356th Airlift Squadron,command structure,3.74E+07,"""incorrect""","""nosense"""
356th Airlift Squadron,dates,7,"""incorrect""","""incorrect"""
356th Airlift Squadron,dates,9,"""incorrect""","""incorrect"""
356th Airlift Squadron,dates,14,"""incorrect""","""incorrect"""
356th Airlift Squadron,dates,27,"""incorrect""","""incorrect"""
356th Airlift Squadron,dates,28,"""no sense""","""incorrect"""
356th Airlift Squadron,unit name,356,"""incorrect""","""incorrect"""
593rd Sustainment Brigade (United States),Caption,593,"""incorrect""","""incorrect"""
593rd Sustainment Brigade (United States),dates,1,"""correct""","""incorrect"""
593rd Sustainment Brigade (United States),unit name,593,"""incorrect""","""incorrect"""
7 Profitz,Name,7,"""incorrect""","""incorrect"""
7 Profitz,record label,http://dbpedia.org/resource/The_Orchard_%28music_label%29,"""incorrect""","""incorrect"""
7 Profitz,website,7,"""incorrect""","""incorrect"""
7 Profitz,years active,2007_present ,"""correct""","""correct"""
ACDSee,Caption,10,"""incorrect""","""incorrect"""
Across the Earth,Artist,Hillsong United ,"""correct""","""correct"""
Across the Earth,genre,Contemporary Christian ,"""correct""","""correct"""
Across the Earth,label,Hillsong Music Australia ,"""correct""","""correct"""
Albert Gleaves,rank,35,"""incorrect""","""incorrect"""
Albert Gleaves,rank,35px Admiral ,"""no sense""","""nosense"""
Albert Gleaves,service end year,1921-01-01T00:00:00+02:00 ,"""incorrect""","""incorrect"""
Albert Gleaves,service start year,1877-01-01T00:00:00+02:00 ,"""correct""","""incorrect"""
Albert Gleaves,serviceyears,1877,"""incorrect""","""incorrect"""
Albert Gleaves,years,1,"""incorrect""","""incorrect"""
Alexandria,established date,332 BC ,"""incorrect""","""incorrect"""
Anders Ohlsson,years,1979,"""incorrect""","""incorrect"""
Andreas Nordvik,clubs,? Haugesund ,"""incorrect""","""incorrect"""
Andreas Nordvik,clubs,? V•À_lerenga ,"""idk""","""incorrect"""
Anthony Herbert (US soldier),birth date,1930,"""correct""","""correct"""
Anthony Herbert (US soldier),DATE OF BIRTH,1930,"""correct""","""correct"""
Anthony Herbert (US soldier),military command,"25px 2nd Battalion, 503rd Infantry ""","""incorrect""","""incorrect"""
Anthony Herbert (US soldier),serviceyears,1947,"""incorrect""","""incorrect"""
Arriva London,image caption,612,"""incorrect""","""incorrect"""
Articles for deletion/Jose Vides,name,Articles for deletion/Jose Vides ,"""incorrect""","""incorrect"""
Association of Chartered Certified Accountants,citation style,11-Jul,"""no sense""","""incorrect"""
Association of Chartered Certified Accountants,headquarters,"London, ""","""correct""","""correct"""
Athletics at the 1972 Summer Olympics ‰ÛÒ Mens shot put,dates,1,"""correct""","""incorrect"""
"Athol, Massachusetts",blank info,25,"""incorrect""","""incorrect"""
"Athol, Massachusetts",blank1 info,619473,"""incorrect""","""correct"""
Augustus Agar,birth date,4,"""incorrect""","""incorrect"""
Belgrade,leader name,http://dbpedia.org/resource/Democratic_Party_,"""incorrect""","""incorrect"""
Belgrade,leader name,http://dbpedia.org/resource/Democratic_Party_%28Serbia%29,"""incorrect""","""incorrect"""
Belgrade,leader name,http://dbpedia.org/resource/G17%2B,"""incorrect""","""incorrect"""
Belgrade,leader name,http://dbpedia.org/resource/Liberal_Democratic_Party_%28Serbia_2005%29,"""incorrect""","""incorrect"""
Belgrade,leader name,http://dbpedia.org/resource/Party_of_United_Pensioners_of_Serbia,"""no sense""","""incorrect"""
Belgrade,leader name,http://dbpedia.org/resource/Socialist_Party_of_Serbia,"""no sense""","""nosense"""
Bermuda Triangle (Sea World),manufacturer,Sea World ,"""correct""","""correct"""
Berzhahn,Bundesland,Rheinland-Pfalz ,"""correct""","""correct"""
Berzhahn,FlÌ_che,3,"""incorrect""","""incorrect"""
Berzhahn,Lageplan,Berzhahn im Westerwaldkreis.png ,"""correct""","""correct"""
Berzhahn,Wappen,Wappen von Berzhahn.png ,"""correct""","""correct"""
Best of BJAODN,block,s ,"""incorrect""","""incorrect"""
Billy Keikeya,first,"""Miniseries"""""""" ","""correct""","""correct"""
Billy Keikeya,last,"""Sacrifice"""""""" ","""no sense""","""correct"""
Blood for Blood,background,group_or_band ,"""incorrect""","""correct"""
Blood for Blood,years active,1994,"""no sense""","""nosense"""
Blood for Blood,years active,1994 &ndash; 2004  2010 ,"""correct""","""correct"""
Brewsters Rooster,Cover,Brewsters Rooster.jpg ,"""correct""","""correct"""
Brewsters Rooster,Recorded,7-Sep,"""correct""","""correct"""
Carrier Strike Group Three,active years end year,2004-01-01T00:00:00+02:00 ,"""incorrect""","""incorrect"""
Charles Boissevain,birth year,1842-01-01T00:00:00+02:00 ,"""correct""","""correct"""
Charles Boissevain,DATE OF BIRTH,28,"""incorrect""","""incorrect"""
Charles Boissevain,DATE OF DEATH,5,"""incorrect""","""incorrect"""
Chartrettes,area (m2),1.01E+07,"""incorrect""","""incorrect"""
Christine McCafferty,DATE OF BIRTH,14,"""incorrect""","""incorrect"""
Christine McCafferty,term end,6,"""incorrect""","""incorrect"""
Christine McCafferty,term start,1,"""incorrect""","""incorrect"""
Claire McCaskill,change,miuns;57.8 ,"""idk""","""incorrect"""
Claire McCaskill,office,Member of the ,"""incorrect""","""incorrect"""
Claire McCaskill,years,20062012,"""correct""","""correct"""
Colonial French,iso,fra ,"""incorrect""","""incorrect"""
Commonsense reasoning,has abstract,"Commonsense reasoning is the branch of Artificial intelligence concerned with replicating human thinking. There are several components to this problem, including: Developing adequately broad and deep commonsense knowledge bases. Developing reasoning methods that exhibit the features of human thinking, including the ability to: reason with knowledge that is true by default reason rapidly across a broad range of domains tolerate uncertainty in your knowledge take decisions under incomplete knowledge and perhaps revise that belief or decision when complete knowledge becomes available. Developing new kinds of cognitive architectures that support multiple reasoning methods and representations. ""","""correct""","""correct"""
Cootie (game),ages,3,"""incorrect""","""incorrect"""
Cootie (game),players,2,"""incorrect""","""incorrect"""
Cootie (game),setup time,240,"""incorrect""","""incorrect"""
Cutty Sark (whisky),introduced,3/20/23,"""incorrect""","""incorrect"""
David A. Carter,DATE OF BIRTH,1957,"""idk""","""incorrect"""
David Downes (Irish composer),BLP sources,7-Oct,"""correct""","""correct"""
David Downes (Irish composer),DATE OF BIRTH,1975,"""correct""","""correct"""
Dream High,Length,181,"""incorrect""","""incorrect"""
Dream High,Length,196,"""idk""","""incorrect"""
Dream High,Length,215,"""incorrect""","""incorrect"""
Dream High,Length,218,"""idk""","""incorrect"""
Dream High,Length,219,"""incorrect""","""incorrect"""
Dream High,Length,222,"""incorrect""","""incorrect"""
Dream High,Length,227,"""incorrect""","""incorrect"""
Dream High,Length,235,"""incorrect""","""incorrect"""
Dream High,Length,247,"""idk""","""incorrect"""
Dream High,Length,260,"""incorrect""","""incorrect"""
Dream High,note,If ,"""no sense""","""incorrect"""
Dream High,num seasons,1,"""incorrect""","""incorrect"""
Dream High,number of seasons,1,"""incorrect""","""incorrect"""
Dubai Press Club,leader name,2007,"""incorrect""","""nosense"""
Durango class patrol vessel,Name,Durango class ,"""correct""","""correct"""
Durango class patrol vessel,Ship aircraft,1,"""incorrect""","""incorrect"""
Durango class patrol vessel,Ship aircraft,or1 x Eurocopter Panther ,"""no sense""","""incorrect"""
Durango class patrol vessel,Ship armament,3420,"""incorrect""","""incorrect"""
Durango class patrol vessel,Ship crew,Crew of 81 ,"""correct""","""correct"""
Durango class patrol vessel,Ship propulsion,2,"""incorrect""","""incorrect"""
Dynamo Blues F.C.,body,99,"""incorrect""","""incorrect"""
Dynamo Blues F.C.,leftarm,99,"""incorrect""","""incorrect"""
Dynamo Blues F.C.,pattern la,_whiteborder ,"""incorrect""","""nosense"""
Dynamo Blues F.C.,pattern ra,_whiteborder ,"""idk""","""correct"""
Dynamo Blues F.C.,rightarm,99,"""no sense""","""incorrect"""
Dynamo Blues F.C.,shorts,99,"""incorrect""","""incorrect"""
Dynamo Blues F.C.,socks,99,"""no sense""","""nosense"""
English (programming language),developer,http://dbpedia.org/resource/Microdata,"""correct""","""correct"""
English (programming language),influenced,? ,"""correct""","""correct"""
English (programming language),influenced by,? ,"""no sense""","""correct"""
English (programming language),paradigm,? ,"""incorrect""","""correct"""
English (programming language),typing,? ,"""idk""","""correct"""
Eric Weiss,relatives,Brother ,"""correct""","""correct"""
European Trotting Derby,qualification,4,"""incorrect""","""incorrect"""
Far North Line,opening year,1862-01-01T00:00:00+02:00 ,"""correct""","""incorrect"""
Faten Hamama,active years start year,1947-01-01T00:00:00+02:00 ,"""no sense""","""incorrect"""
Faten Hamama,birth year,1931-01-01T00:00:00+02:00 ,"""correct""","""incorrect"""
Faten Hamama,Caption,1950,"""incorrect""","""incorrect"""
Faten Hamama,DATE OF BIRTH,27,"""incorrect""","""incorrect"""
Federation of German-American Clubs,founding year,1948-01-01T00:00:00+02:00 ,"""incorrect""","""correct"""
Firewing,isbn,978,"""incorrect""","""incorrect"""
Fort de lOlive,latitude,45,"""incorrect""","""incorrect"""
Fort de lOlive,Longitude,7,"""incorrect""","""incorrect"""
Fuentespalda,name,Fuentespalda/ ,"""correct""","""correct"""
Fuentespalda,official name,Fuentespalda/ ,"""incorrect""","""correct"""
Fuentespalda,population density km,10,"""incorrect""","""incorrect"""
Fumonisin B2,IUPACName,-22,"""no sense""","""incorrect"""
Gareth Emery,active years start year,2002-01-01T00:00:00+02:00 ,"""incorrect""","""correct"""
Gareth Emery,DATE OF BIRTH,18,"""incorrect""","""incorrect"""
Garuda Indonesia Flight 421,Date,-15,"""incorrect""","""incorrect"""
Gary Hamson,caps,134,"""incorrect""","""incorrect"""
Gary Hamson,DATE OF BIRTH,24,"""incorrect""","""incorrect"""
Gary Hamson,height (cm),152.4,"""incorrect""","""incorrect"""
Gary Hamson,height (ë_),1.524,"""incorrect""","""incorrect"""
Gary Hamson,totalcaps,292,"""correct""","""correct"""
George Ferrers,DATE OF DEATH,1579,"""correct""","""correct"""
German gold mark,image,20,"""incorrect""","""incorrect"""
German gold mark,image title ,1200,"""incorrect""","""incorrect"""
German gold mark,ratio,? ,"""incorrect""","""incorrect"""
Gilles Vigneault,DATE OF BIRTH,27,"""incorrect""","""incorrect"""
Giorgio Vinella,DATE OF BIRTH,22,"""incorrect""","""incorrect"""
Giuseppe Giulietti (trade unionist),DATE OF BIRTH,21,"""incorrect""","""incorrect"""
Giuseppe Giulietti (trade unionist),DATE OF DEATH,20,"""correct""","""incorrect"""
"Glenhaven, New South Wales",city,http://dbpedia.org/resource/Sydney,"""idk""", no
"Glenhaven, New South Wales",location,Sydney CBD ,"""correct""","""correct"""
"Glenhaven, New South Wales",pop,5595,"""incorrect""","""incorrect"""
"Glenhaven, New South Wales",state,nsw ,"""correct""","""correct"""
GMA Films,revenue,10000000,"""incorrect""","""incorrect"""
GMA Films,revenue,100000000,"""idk""","""incorrect"""
GNU E,latest release version,2,"""incorrect""","""incorrect"""
Greg Bennett (writer),birthdate,1950,"""correct""","""correct"""
Greg Bennett (writer),DATE OF BIRTH,1950,"""correct""","""correct"""
Guys Hospital,country,UK ,"""correct""","""correct"""
Guys Hospital,HealthCare,NHS ,"""correct""","""correct"""
Guys Hospital,logo,Guys_hospital_crest.jpg ,"""correct""","""correct"""
Guys Hospital,opening year,1721-01-01T00:00:00+02:00 ,"""incorrect""","""incorrect"""
Guy's Hospital,speciality,"neurology, immunology, pathology, histology, physiology, cardiology, radiology, orthopedics, neonatology, urology, virology ""","""idk""","""incorrect"""
Guys Hospital,state,England ,"""correct""","""correct"""
Guys Hospital,website,http://www.guysandstthomas.nhs.uk ,"""correct""","""correct"""
Hadersdorf-Kammern,area code,2735,"""incorrect""","""correct"""
Harlan Warde,yearsactive,1941,"""correct""","""incorrect"""
Harrow School,founding year,1572-01-01T00:00:00+02:00 ,"""correct""","""correct"""
Hatch End railway station,fare zone,6,"""correct""","""correct"""
Hatch End railway station,image name,Hatch End stn building.JPG ,"""idk""","""correct"""
Hatch End railway station,line,Bakerloo ,"""correct""","""correct"""
Hatch End railway station,line,Watford DC ,"""correct""","""correct"""
Hatch End railway station,Longitude,0,"""incorrect""","""incorrect"""
Hatch End railway station,next,Headstone Lane ,"""correct""","""correct"""
Hatch End railway station,previous,Carpenders Park ,"""no sense""","""idk"""
Hawksbill sea turtle,synonym,E. imbricata squamata junior synonym ,"""correct""","""correct"""
"Hickory, North Carolina",area (km2),1.00E-06,"""incorrect""","""incorrect"""
"Hickory, North Carolina",area total (km2),72.7,"""incorrect""","""correct"""
House of the Virgin Mary,photos,http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/House_of_the_Virgin_Mary,"""no sense""","""nosense"""
Ignacio EscudÌ©,DATE OF BIRTH,9,"""incorrect""","""incorrect"""
Ilyushin Il-4,eng1 type,9,"""correct""","""incorrect"""
Ilyushin Il-4,max speed alt,16020,"""idk""","""idk"""
Ilyushin Il-4,max speed main,402000,"""incorrect""","""incorrect"""
Ilyushin Il-4,rockets,18300,"""idk""","""incorrect"""
India Cements,formation year,1946-01-01T00:00:00+02:00 ,"""no sense""","""incorrect"""
India Cements,founding year,1946-01-01T00:00:00+02:00 ,"""correct""","""correct"""
"Indian Shores, Florida",area land (m2),776996,"""incorrect""","""incorrect"""
"Indian Shores, Florida",area land km,1,"""incorrect""","""incorrect"""
"Indian Shores, Florida",area land sq mi,0,"""incorrect""","""incorrect"""
"Indian Shores, Florida",area total (km2),2.330989299,"""no sense""","""correct"""
"Indian Shores, Florida",area total (m2),2.33E+06,"""incorrect""","""incorrect"""
"Indian Shores, Florida",area total km,3,"""incorrect""","""incorrect"""
"Indian Shores, Florida",area total sq mi,1,"""incorrect""","""incorrect"""
"Indian Shores, Florida",area water (m2),1.55E+06,"""incorrect""","""incorrect"""
"Indian Shores, Florida",area water km,2,"""incorrect""","""incorrect"""
"Indian Shores, Florida",area water sq mi,1,"""incorrect""","""incorrect"""
"Indian Shores, Florida",elevation (ÅÍŒ_),0.9144,"""incorrect""","""incorrect"""
"Indian Shores, Florida",UTC offset,-4,"""incorrect""","""incorrect"""
International Harvester L-Series,engine,220,"""incorrect""","""nosense"""
International Harvester L-Series,engine,240,"""incorrect""","""incorrect"""
International Harvester L-Series,engine,269,"""incorrect""","""nosense"""
International Harvester L-Series,transmission,3,"""incorrect""","""incorrect"""
International Harvester L-Series,transmission,4,"""incorrect""","""incorrect"""
Iweta Rajlich,birth date,3/16/81,"""correct""","""correct"""
Iweta Rajlich,birth place,http://dbpedia.org/resource/Poland,"""incorrect""","""incorrect"""
Iweta Rajlich,birth place,http://dbpedia.org/resource/Warsaw,"""incorrect""","""correct"""
Iweta Rajlich,DATE OF BIRTH,16,"""correct""","""incorrect"""
Iweta Rajlich,FideID,1108166,"""incorrect""","""idk"""
Jack Pickering,DATE OF DEATH,1977,"""correct""","""correct"""
Japanese government-issued Philippine Peso,currency name in local,"Peso , , ""","""correct""","""correct"""
Japanese government-issued Philippine Peso,used banknotes,1,"""correct""","""incorrect"""
Jarawa language (Nigeria),fam,Bantu? ,"""no sense""","""incorrect"""
Jessica Lu,birth year,1985-01-01T00:00:00+02:00 ,"""incorrect""","""incorrect"""
Joe Hockey,DATE OF BIRTH,2,"""incorrect""","""incorrect"""
John Garth,after,and William Willy ,"""correct""","""correct"""
John Garth,before,and Sir Joseph Eyles ,"""incorrect""","""incorrect"""
John Garth,DATE OF BIRTH,1701,"""correct""","""correct"""
John Garth,DATE OF DEATH,1764,"""correct""","""incorrect"""
John Garth,years,1740,"""incorrect""","""incorrect"""
Jonathan Baillie,clubs,? Ayr United ,"""incorrect""","""incorrect"""
JosÌ© Manuel VelÌÁzquez,caps,0,"""incorrect""","""incorrect"""
JosÌ© Manuel VelÌÁzquez,caps,1,"""incorrect""","""incorrect"""
JosÌ© Manuel VelÌÁzquez,caps,14,"""correct""","""correct"""
JosÌ© Manuel VelÌÁzquez,caps,32,"""incorrect""","""incorrect"""
JosÌ© Manuel VelÌÁzquez,caps,40,"""correct""","""incorrect"""
JosÌ© Manuel VelÌÁzquez,club-update,30,"""incorrect""","""incorrect"""
JosÌ© Manuel VelÌÁzquez,clubs,? Mineros ,"""incorrect""","""incorrect"""
JosÌ© Manuel VelÌÁzquez,DATE OF BIRTH,8,"""correct""","""incorrect"""
Judy Darcy,DATE OF BIRTH,1950,"""correct""","""correct"""
Judy Darcy,office,4,"""incorrect""","""incorrect"""
Judy Darcy,years,1991,"""incorrect""","""incorrect"""
"Keytesville, Missouri",area land (m2),1.80E+06,"""incorrect""","""incorrect"""
"Keytesville, Missouri",area total (m2),1.80E+06,"""incorrect""","""incorrect"""
"Keytesville, Missouri",elevation (ÅÍŒ_),216,"""correct""","""correct"""
Killers from Space,released,-22,"""incorrect""","""incorrect"""
King of Hearts (Alices Adventures in Wonderland),name,King of Hearts ,"""correct""","""correct"""
King of Hearts (Alices Adventures in Wonderland),series,Alice ,"""correct""","""correct"""
KrisztiÌÁn NÌ©meth,caps,13,"""incorrect""","""incorrect"""
KrisztiÌÁn NÌ©meth,caps,17,"""incorrect""","""incorrect"""
KrisztiÌÁn NÌ©meth,clubs,? AEK Athens ,"""incorrect""","""incorrect"""
KrisztiÌÁn NÌ©meth,clubs,? Blackpool ,"""incorrect""","""incorrect"""
KrisztiÌÁn NÌ©meth,clubs,? MTK Budapest ,"""incorrect""","""correct"""
KrisztiÌÁn NÌ©meth,clubs,? Olympiacos Volos ,"""incorrect""","""incorrect"""
KrisztiÌÁn NÌ©meth,clubs,? RKC Waalwijk ,"""correct""","""correct"""
Kshitij,Prize Money,40,"""correct""","""incorrect"""
Kyohei Inukai (b 1913),name,Kyohei Inukai ,"""correct""","""correct"""
Kyoto University,comment,", or Kyodai is a national university located in Kyoto, Japan. It is the second oldest Japanese university, one of the highest ranked universities in Asia and formerly one of Japan's Imperial Universities. One of AsiaíîíŸ‘©s leading research-oriented institutions, Kyoto University is famed for producing world-class researchers, including seven Nobel Prize laureates, two Fields medalists and one Gauss Prize. ""","""no sense""","""correct"""
Kyoto University,has abstract,", or Kyodai is a national university located in Kyoto, Japan. It is the second oldest Japanese university, one of the highest ranked universities in Asia and formerly one of Japan's Imperial Universities. One of AsiaíîíŸ‘©s leading research-oriented institutions, Kyoto University is famed for producing world-class researchers, including seven Nobel Prize laureates, two Fields medalists and one Gauss Prize. The university has been consistently ranked the second best institute in Japan since 2008 in various independent university ranking schemes. ""","""correct""","""correct"""
Kyoto University,Link from a Wikipage to an external page,http://ed.sjtu.edu.cn/rank/2006/ARWU2006_Top100.htm,"""no sense""","""incorrect"""
Labour Coalition (Iran),logo,200,"""correct""","""correct"""
Landon Liboiron,DATE OF BIRTH,1990,"""no sense""","""incorrect"""
Landon Liboiron,occupation,http://dbpedia.org/resource/Landon_Liboiron__1,"""correct""","""correct"""
Les IncompÌ©tents,active years end year,2006-01-01T00:00:00+02:00 ,"""incorrect""","""incorrect"""
Leu-enkephalin,IUPACName,-2,"""incorrect""","""incorrect"""
LGBT rights in Azerbaijan,gender identity expression,_ ,"""correct""","""correct"""
List of English words of Japanese origin,type,with Japanese language origins ,"""correct""","""correct"""
List of state leaders in 642,comment,- Events of 642 - 643 state leaders - State leaders by year ,"""incorrect""","""incorrect"""
Lock Up (film),runtime (s),6900,"""incorrect""","""incorrect"""
London Buses route 340,day,5,"""incorrect""","""incorrect"""
London Buses route 340,frequency,900,"""correct""","""incorrect"""
Lord & Taylor,company logo,200,"""incorrect""","""incorrect"""
Lord & Taylor,homepage,http://www.lordandtaylor.com/ ,"""correct""","""correct"""
Lord & Taylor,locations,49,"""incorrect""","""incorrect"""
Lord & Taylor,quote,150000,"""incorrect""","""incorrect"""
Lord & Taylor,Width,225,"""incorrect""","""incorrect"""
Ludwig zu Sayn-Wittgenstein-Berleburg,DATE OF BIRTH,8,"""incorrect""","""incorrect"""
Ludwig zu Sayn-Wittgenstein-Berleburg,DATE OF DEATH,20,"""correct""","""incorrect"""
Ludwig zu Sayn-Wittgenstein-Berleburg,Given  name,Ludwig zu ,"""incorrect""","""incorrect"""
Malthonica,Date,9-Dec,"""correct""","""correct"""
Malthonica,diversity link,List of Agelenidae species#Malthonica ,"""correct""","""correct"""
Malthonica,subdivision,See text. ,"""incorrect""","""correct"""
Manchester Rusholme by-election  1919,votes,9394,"""idk""","""incorrect"""
"Manchester Rusholme by-election, 1919",votes,815,"""incorrect""","""incorrect"""
"Manchester Rusholme by-election, 1919",votes,2985,"""correct""","""incorrect"""
"Manchester Rusholme by-election, 1919",votes,3690,"""incorrect""","""incorrect"""
"Manchester Rusholme by-election, 1919",votes,3923,"""incorrect""","""incorrect"""
"Manchester Rusholme by-election, 1919",votes,6397,"""incorrect""","""incorrect"""
"Manchester Rusholme by-election, 1919",votes,6412,"""incorrect""","""incorrect"""
"Manchester Rusholme by-election, 1919",votes,6421,"""incorrect""","""incorrect"""
"Manchester Rusholme by-election, 1919",votes,9394,"""incorrect""","""incorrect"""
"Manchester Rusholme by-election, 1919",votes,11765,"""incorrect""","""correct"""
"Manchester Rusholme by-election, 1919",votes,12447,"""correct""","""incorrect"""
Marc Horowitz,birth year,1981-01-01T00:00:00+01:00 ,"""incorrect""","""incorrect"""
Marc Horowitz,DATE OF BIRTH,1976,"""incorrect""","""nosense"""
Mat McBriar,DATE OF BIRTH,8,"""incorrect""","""incorrect"""
Max and Paddys Road to Nowhere,author,http://dbpedia.org/resource/Patrick_McGuinness,"""idk""","""idk"""
Max and Paddys Road to Nowhere,creator,http://dbpedia.org/resource/Patrick_McGuinness,"""incorrect""","""incorrect"""
Max and Paddys Road to Nowhere,first aired,-1,"""correct""","""incorrect"""
Max and Paddys Road to Nowhere,first aired,12,"""incorrect""","""correct"""
Max and Paddys Road to Nowhere,followed by,Peter Kays Britains Got the Pop Factor... and Possibly a New Celebrity Jesus Christ Soapstar Superstar Strictly on Ice ,"""correct""","""correct"""
Max and Paddys Road to Nowhere,last aired,17,"""correct""","""incorrect"""
Max and Paddys Road to Nowhere,name,Max and Paddys Road to Nowhere ,"""correct""","""correct"""
Max and Paddys Road to Nowhere,picture format,16,"""incorrect""","""incorrect"""
Max and Paddys Road to Nowhere,runtime,30 Mins ,"""correct""","""correct"""
Max and Paddys Road to Nowhere,starring,http://dbpedia.org/resource/Patrick_McGuinness,"""incorrect""","""incorrect"""
Megan Terry,DATE OF BIRTH,7,"""incorrect""","""incorrect"""
Meta-Tyramine,ImageFile,3,"""incorrect""","""incorrect"""
Meta-Tyramine,IUPACName,3,"""correct""","""incorrect"""
Michael Daly Hawkins,DATE OF BIRTH,1954,"""incorrect""","""incorrect"""
Michael Newdow,birth year,1953-01-01T00:00:00+02:00 ,"""correct""","""correct"""
Mike Small (golfer),weight (g),83916,"""incorrect""","""incorrect"""
Mimi Chu,active years start year,1970-01-01T00:00:00+02:00 ,"""correct""","""incorrect"""
Mimi Chu,yearsactive,1970,"""no sense""","""incorrect"""
Mimi Chu,yearsactive,1999,"""no sense""","""incorrect"""
Mir-278 microRNA precursor family,concern,1,"""incorrect""","""incorrect"""
Moderate Party (Scotland),has abstract,"Moderates, in church terms is, normally, though not exclusively, used to refer to an important party of clerics in the Church of Scotland during the 18th century. They are often contrasted with Evangelicals, though this is very much a simplification. Most members of both parties considered themselves orthodox Christians and the leaders - Principal Roberston for the Moderates and his Edinburgh University colleague, John Erskine for the Evangelicals - had a very warm and mutually respectful relationship. They were characteristically very much part of the Scottish Enlightenment contributing to and deriving intellectual nourishment from an impressive range of scholarly activities of the time - literary, philosophical, historical and scientific. They shared - far too easily, in the view of critics - widespread scepticism of Puritanical enthusiasm evident in the many revival movements of the age. ""","""correct""","""correct"""
Montlevon,Longitude,3,"""incorrect""","""incorrect"""
Montlevon,term,2008,"""no sense""","""incorrect"""
Mowaia Bashir,DATE OF BIRTH,17,"""incorrect""","""incorrect"""
MTV Base,first air date,12/21/07,"""correct""","""correct"""
MTV Base,launch,1,"""incorrect""","""incorrect"""
MTV Base,launch,21,"""correct""","""incorrect"""
MTV Base,picture format,4,"""incorrect""","""incorrect"""
MTV Base,picture format,16,"""incorrect""","""incorrect"""
MTV Base,share,0,"""no sense""","""incorrect"""
MTV Base,share date,2011-06-01T00:00:00+01:00 ,"""no sense""","""incorrect"""
Murray Grigor,birth date,1939,"""correct""","""correct"""
Murray Grigor,DATE OF BIRTH,1939,"""correct""","""correct"""
