subject_label,predicate,object,first_answer,majority_voting
'George Ferrers','http://xmlns.com/foaf/0.1/depiction','http://upload.wikimedia.org/wikipedia/commons/0/02/Magna_Carta.jpg',"""correct""","""correct"""
'Giuseppe Giulietti (trade unionist)','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/0803j8q',"""correct""","""correct"""
"Goble, Oregon",'http://dbpedia.org/ontology/thumbnail','http://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Goble_Oregon_train_sign.jpg/200px-Goble_Oregon_train_sign.jpg',"""correct""","""correct"""
"Goble, Oregon",'http://xmlns.com/foaf/0.1/depiction','http://upload.wikimedia.org/wikipedia/commons/1/17/Goble_Oregon_train_sign.jpg',"""correct""","""correct"""
'Gundam Mk-II','http://dbpedia.org/ontology/wikiPageExternalLink','http://www.isuzu.co.jp/museum/conhis/vx2.html',"""incorrect""","""incorrect"""
'Gundlach Bundschu','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/03d5tkx',"""no sense""","""correct"""
'Guy's Hospital','http://dbpedia.org/ontology/thumbnail','http://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Guys_hospital_tower.jpg/200px-Guys_hospital_tower.jpg',"""correct""","""correct"""
'Guy's Hospital','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/02c3rj',"""correct""","""correct"""
'Hadersdorf-Kammern','http://dbpedia.org/ontology/thumbnail','http://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/AUT_Hadersdorf-Kammern_COA.jpg/200px-AUT_Hadersdorf-Kammern_COA.jpg',"""correct""","""correct"""
'Hadersdorf-Kammern','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/02qxcmy',"""correct""","""correct"""
'Hadersdorf-Kammern','http://xmlns.com/foaf/0.1/depiction','http://upload.wikimedia.org/wikipedia/commons/2/2e/AUT_Hadersdorf-Kammern_COA.jpg',"""correct""","""correct"""
'Harrow School','http://dbpedia.org/ontology/thumbnail','http://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/HarrowSchool-OldSchools-20051113.jpg/200px-HarrowSchool-OldSchools-20051113.jpg',"""correct""","""correct"""
'Harrow School','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/019vsw',"""no sense""","""correct"""
'Harrow School','http://xmlns.com/foaf/0.1/depiction','http://upload.wikimedia.org/wikipedia/commons/f/f2/HarrowSchool-OldSchools-20051113.jpg',"""correct""","""correct"""
'Hawaiian dollar','http://dbpedia.org/property/wikiPageUsesTemplate','http://dbpedia.org/resource/Template%3AInfobox_Currency',"""incorrect""","""incorrect"""
'Hidden@205829','http://dbpedia.org/ontology/wikiPageExternalLink','http://special.lib.umn.edu/findaid/xml/mss044.xml',"""incorrect""","""incorrect"""
'I Lost It','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/05b4wt3',"""no sense""","""correct"""
'India Cements','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/0416jhb',"""correct""","""correct"""
'Indian Shores\, Florida','http://dbpedia.org/ontology/thumbnail','http://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Map_of_Florida_highlighting_Indian_Shores.svg/200px-Map_of_Florida_highlighting_Indian_Shores.svg.png',"""correct"""
'Indian Shores\, Florida','http://xmlns.com/foaf/0.1/depiction','http://upload.wikimedia.org/wikipedia/commons/5/53/Map_of_Florida_highlighting_Indian_Shores.svg',"""correct"""
'Information graphics','http://dbpedia.org/ontology/thumbnail','http://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Wash-dc-metro-map.png/200px-Wash-dc-metro-map.png',"""correct""","""correct"""
'Information graphics','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/03xc_j',"""correct""","""correct"""
'Information graphics','http://xmlns.com/foaf/0.1/depiction','http://upload.wikimedia.org/wikipedia/commons/9/9c/Wash-dc-metro-map.png',"""correct""","""correct"""
'Interlaced video','http://dbpedia.org/ontology/thumbnail','http://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Deinterlaced_vs_interlaced_image.gif/200px-Deinterlaced_vs_interlaced_image.gif',"""correct""","""correct"""
'Interlaced video','http://xmlns.com/foaf/0.1/depiction','http://upload.wikimedia.org/wikipedia/commons/5/56/Deinterlaced_vs_interlaced_image.gif',"""correct""","""correct"""
'Jack Pickering','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/0275z1l',"""no sense""","""correct"""
'Japanese government-issued Philippine Peso','http://dbpedia.org/ontology/thumbnail','http://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Philippines_Flag_Original.svg/200px-Philippines_Flag_Original.svg.png',"""incorrect""","""incorrect"""
'Japanese government-issued Philippine Peso','http://xmlns.com/foaf/0.1/depiction','http://upload.wikimedia.org/wikipedia/commons/4/4d/Philippines_Flag_Original.svg',"""incorrect""","""incorrect"""
'John Comaroff','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/05zlt1r',"""correct""","""correct"""
'John Garth','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/0411lq4',"""correct""","""correct"""
'John Two-Hawks','http://dbpedia.org/ontology/wikiPageExternalLink','http://www.cedarlakedvd.com/',"""incorrect""","""incorrect"""
'Jonathan Baillie','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/02pykmf',"""no sense""","""correct"""
'Karl Ludwig Hencke','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/02sbyh',"""correct""","""correct"""
'Killers from Space','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/02700s3',"""no sense""","""correct"""
'King of Hearts (Alice's Adventures in Wonderland)','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/02wvjm9',"""no sense""","""correct"""
'KrisztiÌÁn NÌ©meth','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/02q8lq6',"""no sense""","""correct"""
'Kshitij','http://dbpedia.org/ontology/wikiPageExternalLink','http://www.moneycontrol.com/news-topic/kharagpur/video-%255Bpart-1%255D-acro-dunking-kshitij-2011-iit-kharagpur_ExC-agidTMk.html/',"""incorrect""","""incorrect"""
'Kshitij','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/0gw0z0',"""correct""","""correct"""
'La Puebla del RÌ_o','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/02z7cb5',"""correct""","""correct"""
'Laert Vasili','http://dbpedia.org/ontology/wikiPageExternalLink','http://www.retrodb.gr/wiki/index.php/%3F%3F%3F%3F%3F%3F%3F_%3F%3F%3F%3F%3F%3F%3F%3F',"""incorrect""","""incorrect"""
'Laert Vasili','http://dbpedia.org/ontology/wikiPageExternalLink','http://www.retrodb.gr/wiki/index.php/%3F%3F%3F%3F_%3F%3F%3F%3F_%3F%3F%3F_%3F%3F%3F%3F%3F%3F%3F',"""incorrect""","""incorrect"""
'Laert Vasili','http://dbpedia.org/ontology/wikiPageExternalLink','http://www.retrodb.gr/wiki/index.php/%3F%3F%3F_%3F%3F%3F_%3F%3F%3F%3F',"""incorrect""","""idk"""
'Laert Vasili','http://dbpedia.org/ontology/wikiPageExternalLink','http://www.retrodb.gr/wiki/index.php/%3F_%3F%3F%3F%3F%3F_%3F%3F%3F%3F_%3F%3F%3F_%3F%3F%3F%3F%3F%3F',"""idk""","""correct"""
'Laert Vasili','http://dbpedia.org/ontology/wikiPageExternalLink','http://www.retrodb.gr/wiki/index.php/%3F_%3F%3F%3F%3F%3F_%3F%3F%3F_%3F%3F%3F%3F%3F%3F%3F%3F%3F_%282005%29',"""incorrect""","""incorrect"""
'Laert Vasili','http://dbpedia.org/ontology/wikiPageExternalLink','http://www.retrodb.gr/wiki/index.php/%3F_%3F%3F%3F%3F%3F_%3F%3F%3F_%3F%3F%3F',"""no sense""","""incorrect"""
'Les IncompÌ©tents','http://dbpedia.org/ontology/wikiPageExternalLink','http://www.lesincompetents.co.uk/',"""idk""","""correct"""
'Les IncompÌ©tents','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/0bw79s',"""no sense""","""correct"""
'Les IncompÌ©tents','http://xmlns.com/foaf/0.1/homepage','http://www.lesincompetents.co.uk/',"""correct""","""incorrect"""
'Life. Be in it.','http://dbpedia.org/ontology/wikiPageExternalLink','http://www.lifebeinit.org',"""correct""","""correct"""
'Life. Be in it.','http://dbpedia.org/ontology/wikiPageExternalLink','http://www.lifebeinit.org/%3Furi%3Dhistory/index',"""no sense""","""incorrect"""
'Life. Be in it.','http://dbpedia.org/ontology/wikiPageExternalLink','http://www.lifebeinit.org/index.php%3Furi%3Dmedia/2000.11.07',"""no sense""","""incorrect"""
'Life. Be in it.','http://dbpedia.org/ontology/wikiPageExternalLink','http://www.lifebeinit.org/index.php%3Furi%3Dmedia/2000.11.22',"""no sense""","""incorrect"""
'Lip sync','http://dbpedia.org/ontology/thumbnail','http://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Ashlee_Simpson-Wentz_at_CW_Upfront_2009_2.jpg/200px-Ashlee_Simpson-Wentz_at_CW_Upfront_2009_2.jpg',"""correct""","""correct"""
'Lip sync','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/031b0m',"""no sense""","""correct"""
'Lip sync','http://xmlns.com/foaf/0.1/depiction','http://upload.wikimedia.org/wikipedia/commons/2/2b/Ashlee_Simpson-Wentz_at_CW_Upfront_2009_2.jpg',"""correct""","""correct"""
'List of Running Man episodes','http://dbpedia.org/ontology/wikiPageExternalLink','http://tv.sbs.co.kr/newsunday',"""no sense""","""incorrect""sense"
'Ludwig zu Sayn-Wittgenstein-Berleburg','http://dbpedia.org/ontology/thumbnail','http://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Franz_Xaver_Winterhalter_Leonilla_Princess_of_Sayn_Wittgenstein_Sayn.jpg/200px-Franz_Xaver_Winterhalter_Leonilla_Princess_of_Sayn_Wittgenstein_Sayn.jpg',"""correct""","""correct"""
'Ludwig zu Sayn-Wittgenstein-Berleburg','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/04v6h8',"""no sense""","""correct"""
'Mahoning Creek (Allegheny River)','http://dbpedia.org/ontology/thumbnail','http://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/USACE_Mahoning_Creek_Lake_and_Dam.jpg/200px-USACE_Mahoning_Creek_Lake_and_Dam.jpg',"""correct""","""correct"""
'Mahoning Creek (Allegheny River)','http://xmlns.com/foaf/0.1/depiction','http://upload.wikimedia.org/wikipedia/commons/a/aa/USACE_Mahoning_Creek_Lake_and_Dam.jpg',"""correct""","""correct"""
'Man Therapy','http://dbpedia.org/ontology/thumbnail','http://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/ManTherapyPSAsmall.png/200px-ManTherapyPSAsmall.png',"""correct""","""correct"""
'Man Therapy','http://xmlns.com/foaf/0.1/depiction','http://upload.wikimedia.org/wikipedia/commons/d/d4/ManTherapyPSAsmall.png',"""correct""","""correct"""
'Matthew Crosby','http://dbpedia.org/ontology/thumbnail','http://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Matthew_diner.jpg/200px-Matthew_diner.jpg',"""correct""","""correct"""
'Matthew Crosby','http://dbpedia.org/property/wikiPageUsesTemplate','http://dbpedia.org/resource/Template%3AInfobox_comedian',"""incorrect""","""incorrect"""
'Matthew Crosby','http://dbpedia.org/property/wikiPageUsesTemplate','http://dbpedia.org/resource/Template%3APersondata',"""incorrect""","""incorrect"""
'Mike Small (golfer)','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/02x2wcl',"""no sense""","""correct"""
'Montlevon','http://dbpedia.org/ontology/thumbnail','http://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Montlevon_eglise.jpg/200px-Montlevon_eglise.jpg',"""correct""","""correct"""
'Montlevon','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/03m7nh2',"""correct""","""correct"""
'Mount Athos','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/014wrg',"""no sense""","""correct"""
'Mount Athos','http://xmlns.com/foaf/0.1/depiction','http://upload.wikimedia.org/wikipedia/commons/1/12/Mount_Athos_map_red.png',"""correct""","""correct"""
'Moveable feast','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/0550j',"""no sense""","""correct"""
'MTV Base','http://dbpedia.org/ontology/wikiPageExternalLink','http://www.itizaps.net/zapper-mtv-base-france.php',"""incorrect""","""idk"""
'MTV Base','http://dbpedia.org/ontology/wikiPageExternalLink','http://www.itizaps.net/zapper-mtv-base-uk.php',"""no sense""","""idk"""
'MTV Base','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/02wdv8',"""no sense""","""correct"""
'Nelly Greisen','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/02pm89q',"""correct""","""correct"""
'NEMA connector','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/0ds47w',"""no sense""","""correct"""
'Newmarket Town F.C.','http://dbpedia.org/ontology/thumbnail','http://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/NewmarketTown.jpg/200px-NewmarketTown.jpg',"""correct""","""correct"""
'Newmarket Town F.C.','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/09yyx8',"""no sense""","""correct"""
'Newmarket Town F.C.','http://xmlns.com/foaf/0.1/depiction','http://upload.wikimedia.org/wikipedia/commons/8/8d/NewmarketTown.jpg',"""correct""","""correct"""
'Northamptonshire Regiment','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/02q98zj',"""no sense""","""correct"""
'Northanger Abbey','http://dbpedia.org/ontology/wikiPageExternalLink','http://www.adamsmithacademy.org/etext/Jane_Austen/Northanger_Abbey_Chp_1.html/',"""incorrect""","""incorrect"""
'Northanger Abbey','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/0bdfv',"""correct""","""correct"""
'Northanger Abbey','http://xmlns.com/foaf/0.1/depiction','http://upload.wikimedia.org/wikipedia/commons/6/68/NorthangerPersuasionTitlePage.jpg',"""correct""","""correct"""
'Ohio State Route 124','http://dbpedia.org/ontology/thumbnail','http://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/OH-134.svg/200px-OH-134.svg.png',"""no sense""","""incorrect"""
'Ohio State Route 124','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/0266513',"""no sense""","""correct"""
'Ohio State Route 124','http://xmlns.com/foaf/0.1/depiction','http://upload.wikimedia.org/wikipedia/commons/b/bb/OH-134.svg',"""incorrect""","""incorrect"""
'Pavlovo-Posadsky District','http://dbpedia.org/ontology/thumbnail','http://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Location_of_Pavlovskiy_Posad_Region_%28Moscow_Oblast%29.svg/200px-Location_of_Pavlovskiy_Posad_Region_%28Moscow_Oblast%29.svg.png',"""correct""","""correct"""
'Pavlovo-Posadsky District','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/03fm5l',"""correct""","""correct"""
'Pavlovo-Posadsky District','http://xmlns.com/foaf/0.1/depiction','http://upload.wikimedia.org/wikipedia/commons/3/36/Location_of_Pavlovskiy_Posad_Region_%28Moscow_Oblast%29.svg',"""correct""","""correct"""
'Prilep-Bitola dialect','http://dbpedia.org/ontology/thumbnail','http://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Macedonian_Slavic_dialects.png/200px-Macedonian_Slavic_dialects.png',"""correct""","""correct"""
'Prilep-Bitola dialect','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/0412kt7',"""correct""","""correct"""
'Prilep-Bitola dialect','http://xmlns.com/foaf/0.1/depiction','http://upload.wikimedia.org/wikipedia/commons/9/9c/Macedonian_Slavic_dialects.png',"""correct""","""correct"""
