subject,predicate,object,datatype,Gold standard
Elin Pelin (town),geographical point,42.666666666666664 23.,english,"""incorrect"""
Emanuela Salopek,DATE OF BIRTH,1987,number,"""incorrect"""
European Trotting Derby,distance,126000,second,"""incorrect"""
European Trotting Derby,inaugurated,1985,number,"""incorrect"""
Far North Line,open,1862,number,"""incorrect"""
Faten Hamama,birth year,1931-01-01T00:00:00+02:00,year,"""correct"""
Faten Hamama,active years start year,1947-01-01T00:00:00+02:00,year,"""correct"""
Faten Hamama,Name,____ ____?,english,"""incorrect"""
Faten Hamama,name,____ ____?,english,"""incorrect"""
"Federal Correctional Institution, Dublin",opened,1974,number,"""incorrect"""
Federation of German-American Clubs,founded date,1948,number,"""incorrect"""
Forever Green,first aired,1989,number,"""incorrect"""
Francisca Ballesteros,DATE OF BIRTH,1969,number,"""incorrect"""
Gareth Emery,years active,2002,number,"""incorrect"""
"Goble, Oregon",population as of,2000,number,"""incorrect"""
Gundlach Bundschu,year founded,1858,number,"""incorrect"""
Guy's Hospital,founded,1721,number,"""incorrect"""
Guy's Hospital,Emergency,Yes,english,"""correct"""
Hadersdorf-Kammern,population as of,2001,number,"""incorrect"""
Harrow School,established,1572,number,"""incorrect"""
Hatch End railway station,years,1911,number,"""incorrect"""
Hatch End railway station,Latitude,52,number,"""correct"""
Hatch End railway station,years,1920,number,"""incorrect"""
Hatch End railway station,longitude,0,english,"""incorrect"""
Hatch End railway station,years,1982,number,"""incorrect"""
Hatch End railway station,years,1956,number,"""incorrect"""
Hatch End railway station,railway platforms,2,number,"""correct"""
Hiroki Aratani,caps,30,english,"""incorrect"""
Hiroki Aratani,ALTERNATIVE NAMES,__ __,english,"""incorrect"""
Hiroki Aratani,caps,118,number,"""correct"""
Hiroki Aratani,caps,0,number,"""correct"""
Hosni Mubarak,Name,____ _____?,english,"""incorrect"""
Hosni Mubarak,name,____ _____?,english,"""incorrect"""
House of the Virgin Mary,geographical point,37.91162222222222 27.33402777777777,english,"""incorrect"""
I Lost It,runtime (s),234,number with decimals,"""incorrect"""
Ilyushin Il-4,armament,18300,second,"""incorrect"""
Ilyushin Il-4,range alt,141660,second,"""incorrect"""
India Cements,foundation,1946,number,"""incorrect"""
India Cements,founding year,1946-01-01T00:00:00+01:00,year,"""correct"""
"Indian Shores, Florida",area total (m2),2500000,number with decimals,"""incorrect"""
"Indian Shores, Florida",area land (m2),900000,number with decimals,"""incorrect"""
"Indian Shores, Florida",elevation (_),NAN,number with decimals,"""incorrect"""
"Indian Shores, Florida",population as of,2010,number,"""incorrect"""
"Indian Shores, Florida",area water (m2),1600000,number with decimals,"""incorrect"""
"Indian Shores, Florida",elevation (_),1,number with decimals,"""incorrect"""
Inodrillia nucleata,unranked superfamilia,clade Caenogastropoda,english,"""incorrect"""
Inodrillia nucleata,regnum,Animalia,english,"""incorrect"""
Inodrillia nucleata,unranked superfamilia,clade Hypsogastropoda,english,"""incorrect"""
Inodrillia nucleata,synonym,"Pleurotoma nucleata Dall, 1881 , english",Datatype,"""incorrect"""
Inodrillia nucleata,unranked superfamilia,clade Neogastropoda,english,"""incorrect"""
Inodrillia nucleata,binomial,Inodrillia nucleata,english,"""incorrect"""
Inodrillia nucleata,genus,Inodrillia,english,"""incorrect"""
Inodrillia nucleata,species,I. nucleata,english,"""incorrect"""
Inodrillia nucleata,synonyms,"Pleurotoma nucleata Dall, 1881 , english",Datatype,"""incorrect"""
International Harvester L-Series,wheelbase (mm),115,millimetre,"""correct"""
International Harvester L-Series,wheelbase,134,number,"""correct"""
International Harvester L-Series,wheelbase (_),0.115,number with decimals,"""correct"""
International Harvester L-Series,wheelbase,115,number,"""correct"""
Jack Pickering,years,1925,number,"""incorrect"""
Jack Pickering,nationalyears,1933,number,"""incorrect"""
Joe Hockey,children,2,second,"""incorrect"""
John Garth,DATE OF DEATH,1764,number,"""incorrect"""
John Garth,years,1740,number,"""incorrect"""
John Garth,DATE OF BIRTH,1701,number,"""incorrect"""
Jonathan Baillie,DATE OF BIRTH,2,number,"""incorrect"""
Jonathan Baillie,years,2006,number,"""incorrect"""
José Manuel Velázquez,years,2008,number,"""incorrect"""
José Manuel Velázquez,years,2012,number,"""incorrect"""
Judy Darcy,term end,1991,number,"""incorrect"""
Judy Darcy,term start,1989,number,"""incorrect"""
Judy Darcy,term end,2011,number,"""incorrect"""
Judy Darcy,term end,2003,number,"""incorrect"""
Judy Darcy,term start,2005,number,"""incorrect"""
Judy Darcy,term start,1991,number,"""incorrect"""
Krisztián Németh,nationalyears,2010,number,"""incorrect"""
Krisztián Németh,years,2005,number,"""incorrect"""
Krisztián Németh,years,2012,number,"""incorrect"""
Krisztián Németh,youthyears,2003,number,"""incorrect"""
Krisztián Németh,nationalyears,2009,number,"""incorrect"""
Kyoto University,Motto,_____,english,"""incorrect"""
Kyoto University,motto,_____,english,"""incorrect"""
Kyoto University,native name,____,english,"""incorrect"""
Kyoto University,geographical point,35.026212 135.78084,english,"""incorrect"""
Kyoto University,name,____,english,"""incorrect"""
La Puebla del Río,population as of,2006,number,"""incorrect"""
Labour Coalition (Iran),native name,______ ____ ____?,english,"""incorrect"""
Labour Coalition (Iran),name,______ ____ ____?,english,"""incorrect"""
Landon Liboiron,active years start year,2007-01-01T00:00:00+02:00,year,"""correct"""
Les Incompétents,active years start year,2004-01-01T00:00:00+01:00,year,"""correct"""
Les Incompétents,active years end year,2006-01-01T00:00:00+01:00,year,"""correct"""
Les Incompétents,active years start year,2004-01-01T00:00:00+02:00,year,"""correct"""
Les Incompétents,years active,2004,number,"""incorrect"""
London Buses route 340,vehicle,612,second,"""incorrect"""
Lord & Taylor,quote,150000,second,"""incorrect"""
Malthonica,diversity,42,second,"""incorrect"""
Mat McBriar,undrafted year,2003-01-01T00:00:00+02:00,year,"""correct"""
Mat McBriar,active years start year,2004-01-01T00:00:00+02:00,year,"""correct"""
Max and Paddy's Road to Nowhere,runtime,30,number,"""correct"""
Mazzarrà Sant'Andrea,population as of,Dec. 2004,english,"""correct"""
Mazzarrà Sant'Andrea,area code,941,number,"""correct"""
Megan Terry,birth year,1932-01-01T00:00:00+02:00,year,"""correct"""
Mexico at the 1968 Summer Olympics,games,1968,number,"""incorrect"""
Middelburg,time zone,http://dbpedia.org/resource/Central_European_Summer_Time,Datatype,"""incorrect"""
Middelburg,UTC offset,+1,english,"""incorrect"""
Mike Small (golfer),yearpro,1990,number,"""incorrect"""
Mimi Chu,ChineseName,Zh_ M_m_,english,"""incorrect"""
Mimi Chu,yearsactive,1999,number,"""incorrect"""
Mimi Chu,yearsactive,1970,number,"""incorrect"""
Mimi Chu,name,Zh_ M_m_,english,"""incorrect"""
Minobusan University,native name,_____,english,"""incorrect"""
Minobusan University,established,1994,number,"""incorrect"""
Mont Pèlerin,elevation (_),1080,number with decimals,"""incorrect"""
Montlevon,population date,2008,number,"""incorrect"""
Mount Athos,established date,1975,number,"""incorrect"""
Mount Athos,established date,1927,number,"""incorrect"""
Mount Athos,native name,????? ???,english,"""incorrect"""
Mount Athos,Link,http://whc.unesco.org/en/list/454,english,"""incorrect"""
Mount Athos,name,????? ???,english,"""incorrect"""
Mowaia Bashir,nationalyears,2010,number,"""incorrect"""
Mowaia Bashir,day,18,number,"""incorrect"""
Mowaia Bashir,years,2010,number,"""incorrect"""
Mowaia Bashir,year,2012,number,"""incorrect"""
MTV Base,launch,2/5/2013,english,"""incorrect"""
MTV Base,web,http://www.mtvbase.com,english,"""incorrect"""
MTV Base,sat chan,11739,volt,"""incorrect"""
Nabil Farouk,Name,____ ____?,english,"""incorrect"""
Nabil Farouk,name,____ ____?,english,"""incorrect"""
Newmarket Town F.C.,season,2011,number,"""incorrect"""
Northanger Abbey,release date,December 1817,english,"""correct"""
Northanger Abbey,country,United Kingdom,english,"""correct"""
Northanger Abbey,Date,10/10/2013,english,"""incorrect"""
O'Connor Park,opened,1934,number,"""incorrect"""
O'Connor Park,renovated,2004,number,"""incorrect"""
Ohio State Route 124,established,1926,number,"""incorrect"""
Open Happiness,year,2009,number,"""incorrect"""
Oreye,postal code,4360,english,"""incorrect"""
Oreye,area code,19,english,"""incorrect"""
Pala Pala,Name,Para Para ____,english,"""incorrect"""
Pala Pala,Last album,_____,english,"""incorrect"""
Pala Pala,name,Para Para ____,english,"""incorrect"""
Pariisin Kevät,active years start year,2007-01-01T00:00:00+02:00,year,"""correct"""
Pariisin Kevät,Name,Pariisin Kevät,english,"""incorrect"""
Pariisin Kevät,name,Pariisin Kevät,english,"""incorrect"""
Pavlovo-Posadsky District,ru name,_______-_________ ____?,english,"""incorrect"""
Prime Tortoise of the Record Bureau,t,____,english,"""incorrect"""
Prime Tortoise of the Record Bureau,s,____,english,"""incorrect"""
Qaleh Chek,utc offset DST,270,second,"""correct"""
Qaleh Chek,native name,____ _?,english,"""incorrect"""
Qaleh Chek,utc offset,210,second,"""correct"""
Qaleh Chek,name,____ _?,english,"""incorrect"""
Quán Thánh Temple,native name,__n Quán Thánh,english,"""incorrect"""
Quán Thánh Temple,former name,__n Tr_n V_ (Tr_n V_ Temple) then __n Quan Thánh (Quan Thánh Temple),english,"""incorrect"""
Quán Thánh Temple,former names,__n Tr_n V_ then __n Quan Thánh,english,"""incorrect"""
Quán Thánh Temple,name,Quán Thánh Templ,english,"""incorrect"""
Quán Thánh Temple,name,__n Quán Thán,english,"""incorrect"""
Quebec City Armoury,start date,1885,number,"""incorrect"""
Quebec City Armoury,destruction date,2008,number,"""incorrect"""
Quebec City Armoury,completion date,1888,number,"""incorrect"""
Racial Harmony Day,p,Zh_ngzú Héxié Rì,english,"""incorrect"""
Racial Harmony Day,type,Thing,Datatype,"""incorrect"""
Ramesh Bais,year,2006,number,"""incorrect"""
Ras-I Dowling,weight (g),95256,number with decimals,"""incorrect"""
Ras-I Dowling,weight,198,number,"""correct"""
Ras-I Dowling,weight,210,number,"""correct"""
Ras-I Dowling,height (_),1.8542,number with decimals,"""correct"""
Rastislali_ noble family,dissolution,1379,number,"""correct"""
Rastislali_ noble family,color,#bebeaf,english,"""incorrect"""
Renato Tosio,career end,2001,number,"""incorrect"""
Renato Tosio,height (_),1.8034,number with decimals,"""correct"""
Renato Tosio,weight (g),80287.2,number with decimals,"""correct"""
Renato Tosio,career start,1980,number,"""incorrect"""
Renato Tosio,weight lb,177,number,"""correct"""
RMS Caronia,Ship ordered,1946,number,"""incorrect"""
Robert Bates (loyalist),death year,1997-01-01T00:00:00+02:00,year,"""correct"""
Robert Bates (loyalist),birth year,1948-01-01T00:00:00+02:00,year,"""correct"""
Rodrigo Salinas,years,2008,number,"""incorrect"""
Rodrigo Salinas,height,1.78m,english,"""incorrect"""
Rodrigo Salinas,years,2012,number,"""incorrect"""
Rodrigo Salinas,dateofbirth,5/9/1988,date,"""correct"""
Sailing at the 1956 Summer Olympics – Dragon,next,1960,number,"""incorrect"""
Sailing at the 1956 Summer Olympics – Dragon,games,1956,number,"""incorrect"""
Sailing at the 1956 Summer Olympics – Dragon,prev,1952,number,"""incorrect"""
Salasco,population as of,12/4/2013,english,"""incorrect"""
"Sir Edward Boyle, 1st Baronet",years,1904,number,"""incorrect"""
_krdlovice,population as of,2006,number,"""incorrect"""
_krdlovice,name,krdlovice,english,"""incorrect"""
Soul Fixin' Man,released,1994,number,"""incorrect"""
"St Mary the Virgin's Church, Walney",groundbreaking,1907,number,"""incorrect"""
"St. Louis School, Hong Kong",established,1927,number,"""incorrect"""
"St. Louis School, Hong Kong",enrolment,1120,number,"""incorrect"""
"St. Louis School, Hong Kong",founded,1864,number,"""incorrect"""
Stephen Hillenburg,yearsactive,1991,number,"""incorrect"""
Sunfish (sailboat),year,1974,number,"""incorrect"""
Sunfish (sailboat),year,1952,number,"""incorrect"""
Temascaltepec Nahuatl,Date,1990,number,"""incorrect"""
Teo Chee Hean,years,2003,number,"""incorrect"""
Teo Chee Hean,p,Zh_ng Zhìxián,english,"""incorrect"""
Teo Chee Hean,native name,???,english,"""incorrect"""
Teo Chee Hean,poj,Tiu_ Chì-hiân,english,"""incorrect"""
Teo Chee Hean,serviceyears,1972,number,"""incorrect"""
Teo Chee Hean,s,___,english,"""incorrect"""
Teo Chee Hean,years,1996,number,"""incorrect"""
Teo Chee Hean,years,2011,number,"""incorrect"""
Teo Chee Hean,t,___,english,"""incorrect"""
Teo Chee Hean,term start,1997,number,"""incorrect"""
The Sandman: Season of Mists,Date,December 1990 - July 1991,english,"""correct"""
This Is Not My Life,runtime (s),2580,number with decimals,"""incorrect"""
Timothy Upham,unit,21,second,"""incorrect"""
Trial & Retribution,country,UK,english,"""correct"""
Trinity Episcopal Cathedral (Miami),built,1925,number,"""incorrect"""
Trip Lee,years active,2005,number,"""incorrect"""
U.S. Pistoiese 1921,founded,1945,number,"""incorrect"""
U.S. Pistoiese 1921,founded,1937,number,"""incorrect"""
U.S. Pistoiese 1921,founded,1988,number,"""incorrect"""
U.S. Pistoiese 1921,founded,1921,number,"""incorrect"""
U.S. Pistoiese 1921,season,2011,number,"""incorrect"""
U.S. Pistoiese 1921,founded,2009,number,"""incorrect"""
U.S. Route 78 in Alabama,established,1926,number,"""incorrect"""
Vailly-sur-Aisne,elevation (_),42,number with decimals,"""incorrect"""
Vailly-sur-Aisne,minimum elevation (_),42,number with decimals,"""incorrect"""
Vailly-sur-Aisne,population date,2008,number,"""incorrect"""
Vailly-sur-Aisne,area (m2),9970000,number with decimals,"""incorrect"""
Vailly-sur-Aisne,maximum elevation (_),192,number with decimals,"""incorrect"""
Vincenzo Iaquinta,height (_),1.85,number with decimals,"""correct"""
Vincenzo Iaquinta,years,1996,number,"""incorrect"""
Vincenzo Iaquinta,nationalyears,2005,number,"""incorrect"""
Vincenzo Iaquinta,years,2012,number,"""incorrect"""
Vincenzo Iaquinta,years,2007,number,"""incorrect"""
Walter Flowers,years,1973,number,"""incorrect"""
Walter Flowers,DATE OF BIRTH,1933,number,"""incorrect"""
Walter Flowers,DATE OF DEATH,1984,number,"""incorrect"""
Walter Flowers,years,1969,number,"""incorrect"""
Wang Sing-nan,p,Wáng Xìngnán,english,"""incorrect"""
Wang Sing-nan,poj,Ông H_ng-lâm,english,"""incorrect"""
Wang Sing-nan,W,Wáng Hsìngnán,english,"""incorrect"""
Wöllersdorf-Steinabrückl,Partei,SPÖ,english,"""incorrect"""
Wöllersdorf-Steinabrückl,Kfz,WB,english,"""correct"""
Wöllersdorf-Steinabrückl,NUTS,AT122,english,"""incorrect"""
Wöllersdorf-Steinabrückl,Bundesland,Niederösterreich,english,"""incorrect"""
Wöllersdorf-Steinabrückl,Art,Marktgemeinde,english,"""incorrect"""
Wöllersdorf-Steinabrückl,Bezirk,Wiener Neustadt-Land,english,"""incorrect"""
Zack Wheat,finaldate,-12,date,"""incorrect"""
Zellers,defunct,2013,number,"""incorrect"""
Zellers,foundation,1931,number,"""incorrect"""
Zirid dynasty,years,1048,number,"""incorrect"""
Zirid dynasty,year leader,973,number,"""incorrect"""
Zirid dynasty,year end,1148,number,"""incorrect"""
Zirid dynasty,years,972,number,"""incorrect"""
Zirid dynasty,years,1058,number,"""incorrect"""
Zirid dynasty,year leader,1121,number,"""incorrect"""
Zirid dynasty,years,1013,number,"""incorrect"""
Zirid dynasty,year start,973,number,"""incorrect"""
____ _____,c,____?,english,"""incorrect"""
,,,,
